ID,性别,专业,学历,毕业去向,就业行业,岗位类型,工作城市,城市等级,期望薪资,实际薪资,期望薪资达成率,是否有实习经历,专业-行业匹配度,学历-岗位匹配度,满意度评分,岗位ID
1,男,计算机,硕士,就业,互联网,后端开发工程师,北京,一线,15000,16500,1.100,是,高,高,5,JOB001
2,女,金融学,本科,就业,金融,投资分析师,上海,一线,12000,11000,0.917,是,高,中,4,JOB002
3,男,土木工程,本科,就业,建筑,项目工程师,成都,新一线,8000,7500,0.938,否,高,高,3,JOB003
4,女,临床医学,博士,就业,医疗,主治医师,广州,一线,18000,20000,1.111,是,高,高,5,JOB004
5,男,英语,本科,公务员,政府机关,翻译专员,杭州,新一线,9000,8500,0.944,是,低,中,4,JOB005
6,女,计算机,硕士,就业,互联网,算法工程师,深圳,一线,20000,22000,1.100,是,高,高,5,JOB006
7,男,工商管理,本科,创业,文化传媒,联合创始人,武汉,新一线,10000,13000,1.300,否,中,低,4,JOB007
8,女,法学,硕士,公务员,政府机关,法务专员,南京,新一线,10000,9500,0.950,是,高,高,4,JOB008
9,男,电子信息,本科,就业,制造业,硬件工程师,苏州,新一线,9000,8800,0.978,是,高,中,3,JOB009
10,女,新闻学,本科,自由职业,文化传媒,自媒体运营,重庆,新一线,7000,9000,1.286,否,中,低,4,JOB010
