division,department,team,role,headcount
技术中心,后端研发,核心服务组,架构师,8
技术中心,后端研发,核心服务组,高级工程师,25
技术中心,后端研发,核心服务组,工程师,40
技术中心,后端研发,核心服务组,初级工程师,15
技术中心,后端研发,数据平台组,架构师,5
技术中心,后端研发,数据平台组,高级工程师,18
技术中心,后端研发,数据平台组,工程师,30
技术中心,后端研发,数据平台组,初级工程师,12
技术中心,前端研发,Web开发组,高级工程师,12
技术中心,前端研发,Web开发组,工程师,22
技术中心,前端研发,Web开发组,初级工程师,10
技术中心,前端研发,移动开发组,高级工程师,15
技术中心,前端研发,移动开发组,工程师,28
技术中心,前端研发,移动开发组,初级工程师,14
技术中心,质量保障,测试开发组,高级工程师,8
技术中心,质量保障,测试开发组,工程师,20
技术中心,质量保障,测试开发组,初级工程师,12
技术中心,质量保障,自动化测试组,高级工程师,6
技术中心,质量保障,自动化测试组,工程师,15
技术中心,质量保障,自动化测试组,初级工程师,8
技术中心,运维DevOps,基础设施组,架构师,4
技术中心,运维DevOps,基础设施组,高级工程师,10
技术中心,运维DevOps,基础设施组,工程师,18
技术中心,运维DevOps,安全合规组,高级工程师,6
技术中心,运维DevOps,安全合规组,工程师,12
产品中心,产品设计,用户体验组,产品总监,2
产品中心,产品设计,用户体验组,高级产品经理,6
产品中心,产品设计,用户体验组,产品经理,10
产品中心,产品设计,UI设计组,设计总监,2
产品中心,产品设计,UI设计组,高级设计师,8
产品中心,产品设计,UI设计组,设计师,12
产品中心,数据产品,数据分析组,高级数据分析师,5
产品中心,数据产品,数据分析组,数据分析师,10
产品中心,数据产品,AI产品组,高级产品经理,4
产品中心,数据产品,AI产品组,产品经理,8
市场中心,品牌营销,品牌策略组,品牌总监,2
市场中心,品牌营销,品牌策略组,品牌经理,6
市场中心,品牌营销,内容运营组,内容总监,2
市场中心,品牌营销,内容运营组,内容运营,12
市场中心,品牌营销,内容运营组,新媒体编辑,8
市场中心,渠道拓展,线上渠道组,渠道总监,2
市场中心,渠道拓展,线上渠道组,渠道经理,8
市场中心,渠道拓展,线下渠道组,渠道总监,2
市场中心,渠道拓展,线下渠道组,区域经理,10
市场中心,渠道拓展,线下渠道组,渠道专员,20
